idUtente;nome;telemovel;email;dataNascimento;nacionalidade
78;Tom Hanks;910000078;forrest.gump@gmail.com;09/07/1956;EUA
79;Stephen Hawking;910000079;black.holes@gmail.com;08/01/1942;Reino Unido
80;Mozart;910000080;classical.genius@gmail.com;27/01/1756;Áustria
81;Zezé Camarinha;910000081;macho.man.pt@gmail.com;02/03/1960;Portugal
82;Quim Roscas;910000082;standup.pt@gmail.com;04/04/1975;Portugal
83;Tino de Rans;910000083;presidente.rans@gmail.com;25/05/1969;Portugal
84;Fernando Rocha;910000085;piadas.rocha@gmail.com;23/10/1975;Portugal
85;Ruth Marlene;910000086;pimba.star@gmail.com;12/06/1976;Portugal
86;Toy;910000087;estupidamente.apaixonado@gmail.com;10/08/1963;Portugal
87;Nilton;910000094;telefonemas.nilton@gmail.com;17/04/1975;Portugal
88;Jorge Jesus;910000088;treinador.mister@gmail.com;24/07/1954;Portugal
89;Maria Leal;910000095;hits.verao@gmail.com;08/08/1980;Portugal
90;Bruno Aleixo;910000096;conselheiro.aleixo@gmail.com;01/01/1970;Portugal
